MSNO,total_dur,PostalCode
40018,2880.0,080011
40035,1200.0,153095
40036,9180.0,151096
40036,9180.0,151096
40037,480.0,152096
40068,1200.0,152075
40072,30.0,090025
40072,30.0,090025
40078,270.0,100065
40078,270.0,100065
40078,270.0,100065
40078,270.0,100065
40103,360.0,570249
40103,360.0,570249
40103,360.0,570249
40103,360.0,570249
40103,360.0,570249
40104,720.0,570292
40104,720.0,570292
40104,720.0,570292
40104,720.0,570292
40109,3000.0,571275
40109,3000.0,571275
40109,3000.0,571275
40110,720.0,570290
40116,810.0,570453
40116,810.0,570453
40125,7800.0,391030
40125,7800.0,391030
40131,1080.0,370049
40139,120.0,400002
40144,1080.0,380124
40153,360.0,392003
40155,6000.0,370092
40156,120.0,380041
40156,120.0,380041
40156,120.0,380041
40180,360.0,431011
40182,960.0,431003
40182,960.0,431003
40186,120.0,330064
40199,60.0,321026
40200,240.0,322004
40201,9600.0,320011
40212,480.0,330034
40212,480.0,330034
40212,480.0,330034
40230,60.0,320078
40231,1800.0,300069
40235,600.0,321109
40241,900.0,080333
40241,900.0,080333
40241,900.0,080333
40241,900.0,080333
40241,900.0,080333
40243,240.0,051335
40243,240.0,051335
40297,810.0,180264
40297,810.0,180264
40313,120.0,310128
40317,360.0,310149
40319,1440.0,310159
40324,315.0,310120
40324,315.0,310120
40327,180.0,310060
40327,180.0,310060
40334,6900.0,310048
40334,6900.0,310048
40334,6900.0,310048
40334,6900.0,310048
40336,900.0,310055
40342,4380.0,310006
40342,4380.0,310006
40349,120.0,310229
40351,300.0,310230
40351,300.0,310230
40351,300.0,310230
40351,300.0,310230
40363,2850.0,312079
40363,2850.0,312079
40366,270.0,314079
40366,270.0,314079
40366,270.0,314079
40366,270.0,314079
40367,120.0,310025
40370,180.0,310205
40381,8640.0,460110
40381,8640.0,460110
40388,480.0,470705
40394,450.0,460203
40397,4320.0,460129
40397,4320.0,460129
40410,1560.0,460546
40410,1560.0,460546
40411,900.0,460547
40418,1200.0,461188
40418,1200.0,461188
40418,1200.0,461188
40422,360.0,470107
40423,360.0,470113
40427,360.0,470139
40429,1560.0,470605
40429,1560.0,470605
40435,240.0,470704
40455,2160.0,461001
40455,2160.0,461001
40455,2160.0,461001
40456,570.0,461021
40456,570.0,461021
40481,3600.0,510460
40487,625.0,510469
40488,720.0,510473
40489,600.0,510473
40491,2160.0,510113
40521,360.0,520155
40521,360.0,520155
40522,2280.0,520112
40522,2280.0,520112
40525,2400.0,520130
40525,2400.0,520130
40530,60.0,520244
40531,240.0,523623
40531,240.0,523623
40531,240.0,523623
40531,240.0,523623
40532,2160.0,522624
40532,2160.0,522624
40538,360.0,521859
40539,1080.0,520392
40542,720.0,522879
40544,300.0,523601
40545,450.0,520505
40545,450.0,520505
40545,450.0,520505
40545,450.0,520505
40546,225.0,521515
40546,225.0,521515
40546,225.0,521515
40546,225.0,521515
40551,120.0,522613
40578,120.0,524230
40581,45.0,520320
40583,480.0,520354
40583,480.0,520354
40587,720.0,520421
40587,720.0,520421
40589,40.0,520429
40593,2400.0,520449
40593,2400.0,520449
40593,2400.0,520449
40594,500.0,523450
40603,540.0,522497
40603,540.0,522497
40603,540.0,522497
40606,2640.0,525498
40606,2640.0,525498
40608,720.0,521626
40661,210.0,560471
40661,210.0,560471
40668,1200.0,560102
40668,1200.0,560102
40668,1200.0,560102
40675,450.0,560233
40675,450.0,560233
40688,1080.0,560112
40695,360.0,560629
40728,180.0,530121
40738,480.0,530018
40740,180.0,530020
40740,180.0,530020
40741,360.0,530251
40741,360.0,530251
40741,360.0,530251
40741,360.0,530251
40741,360.0,530251
40745,2880.0,530603
40748,240.0,530661
40752,2250.0,530301
40752,2250.0,530301
40752,2250.0,530301
40752,2250.0,530301
40752,2250.0,530301
40759,600.0,530526
40759,600.0,530526
40759,600.0,530526
40789,1200.0,530911
40789,1200.0,530911
40789,1200.0,530911
40789,1200.0,530911
40789,1200.0,530911
40793,360.0,530929
