MSNO,total_dur,PostalCode,lat,long,address
40018,2880.0,080011,1.27442604746069,103.839671514269,11 CANTONMENT CLOSE CANTONMENT TOWERS SINGAPORE 080011
40035,1200.0,153095,1.28740640570626,103.822053233106,95C HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 153095
40036,9180.0,151096,1.28798878836651,103.821947260359,96A HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 151096
40037,480.0,152096,1.288056640159,103.821285332505,96B HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 152096
40068,1200.0,152075,1.28848093779845,103.815878776808,75B REDHILL ROAD SINGAPORE 152075
40072,30.0,090025,1.27633689840283,103.819194353538,25 TELOK BLANGAH CRESCENT SINGAPORE 090025
40078,270.0,100065,1.27406230448123,103.810424079622,65 TELOK BLANGAH DRIVE BLANGAH VIEW SINGAPORE 100065
40103,360.0,570249,1.36114689488207,103.843966049555,249 BISHAN STREET 22 DIVINITY ESPECIAL NEEDS INTERVENTION CENTRE SINGAPORE 570249
40104,720.0,570292,1.35601736515828,103.845668085918,292 BISHAN STREET 22 BISHAN HEIGHTS SINGAPORE 570292
40109,3000.0,571275,1.35673539047075,103.843519752733,275A BISHAN STREET 24 NATURA LOFT SINGAPORE 571275
40110,720.0,570290,1.35613778516576,103.844897654796,290 BISHAN STREET 24 BISHAN HEIGHTS SINGAPORE 570290
40116,810.0,570453,1.35904538127014,103.829898490029,453 SIN MING AVENUE SIN MING COURT SINGAPORE 570453
40125,7800.0,391030,1.30944315518034,103.883336276334,30 CASSIA CRESCENT SINGAPORE 391030
40131,1080.0,370049,1.32513240286821,103.885610754075,49 CIRCUIT ROAD MACPHERSON GARDEN SINGAPORE 370049
40139,120.0,400002,1.32075358200239,103.902873099409,2 EUNOS CRESCENT SINGAPORE 400002
40144,1080.0,380124,1.31838863767065,103.8866756731,124 GEYLANG EAST AVENUE 1 GEYLANG EAST GROVE SINGAPORE 380124
40153,360.0,392003,1.30692877602797,103.883110476119,3 PINE CLOSE SINGAPORE 392003
40155,6000.0,370092,1.32319473990265,103.887350625629,92 PIPIT ROAD SINGAPORE 370092
40156,120.0,380041,1.31685532892182,103.875551269808,41 SIMS DRIVE SIMS VISTA SINGAPORE 380041
40180,360.0,431011,1.30169639051101,103.882578686361,11 JALAN BATU DI TANJONG RHU SINGAPORE 431011
40182,960.0,431003,1.30288393170238,103.883934229235,3 JALAN BATU DI TANJONG RHU SINGAPORE 431003
40186,120.0,330064,1.32036885070648,103.868340801014,64 KALLANG BAHRU PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER BLK 64 (KN) SINGAPORE 330064
40199,60.0,321026,1.32238824783966,103.862438814371,26A SAINT GEORGE'S LANE SAINT GEORGE'S TOWERS SINGAPORE 321026
40200,240.0,322004,1.32219497416293,103.860831758253,4C SAINT GEORGE'S LANE SINGAPORE 322004
40201,9600.0,320011,1.32292326712558,103.863230452849,11 SAINT GEORGE'S ROAD SAINT GEORGE'S EAST GARDENS SINGAPORE 320011
40212,480.0,330034,1.32050169556608,103.863341271367,34 WHAMPOA WEST BENDEMEER VILLE SINGAPORE 330034
40230,60.0,320078,1.32487617789478,103.855541044499,78 LORONG LIMAU WHAMPOA DEW SINGAPORE 320078
40231,1800.0,300069,1.31895176233165,103.850517972593,69 MOULMEIN ROAD MOULMEIN VIEW SINGAPORE 300069
40235,600.0,321109,1.32714817577656,103.855700914421,109 WHAMPOA ROAD WHAMPOA GARDENS SINGAPORE 321109
40241,900.0,080333,1.28074833681274,103.84246340102,333 KRETA AYER ROAD SINGAPORE 080333
40243,240.0,051335,1.28211630828089,103.842845624261,335A SMITH STREET SINGAPORE 051335
40297,810.0,180264,1.29900941828595,103.852284903161,264 WATERLOO STREET SINGAPORE 180264
40313,120.0,310128,1.33781295353996,103.844331928876,128 LORONG 1 TOA PAYOH SINGAPORE 310128
40317,360.0,310149,1.33378491718625,103.84376074201,149 LORONG 1 TOA PAYOH SINGAPORE 310149
40319,1440.0,310159,1.3307454292856,103.845601223103,159 LORONG 1 TOA PAYOH CARE CORNER STUDENT CARE CENTRE (TOA PAYOH) SINGAPORE 310159
40324,315.0,310120,1.33913568992412,103.845562921008,120 LORONG 2 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310120
40327,180.0,310060,1.33632813877246,103.850756428954,60 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310060
40334,6900.0,310048,1.337083957059,103.85354103689,48 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310048
40336,900.0,310055,1.33735977355321,103.851197793444,55 LORONG 5 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310055
40342,4380.0,310006,1.33858279721249,103.85719237771,6 LORONG 7 TOA PAYOH PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH EAST-NOVENA BLK 6 (KN) SINGAPORE 310006
40349,120.0,310229,1.3387183120625,103.85919463592,229 LORONG 8 TOA PAYOH TOA PAYOH EIGHT SINGAPORE 310229
40351,300.0,310230,1.33825592680641,103.859303071005,230 LORONG 8 TOA PAYOH TOA PAYOH EIGHT SINGAPORE 310230
40363,2850.0,312079,1.33464078301907,103.847990266882,79B TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 312079
40366,270.0,314079,1.33464084384827,103.849165514713,79D TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 314079
40367,120.0,310025,1.33356606706026,103.856981751253,25 TOA PAYOH EAST SINGAPORE 310025
40370,180.0,310205,1.34220948332494,103.847727620222,205 TOA PAYOH NORTH PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH WEST-BALESTIER BLK 205 (KN) SINGAPORE 310205
40381,8640.0,460110,1.33247206352435,103.934860475522,110 BEDOK NORTH ROAD FENGSHAN ESTATE SINGAPORE 460110
