NAME,unit_median_pk,unit_median_ngs,ratio
ANG MO KIO,450.0,1875.0,4.166666666666667
BEDOK,1080.0,2550.0,2.361111111111111
BISHAN,765.0,1575.0,2.0588235294117645
BUKIT BATOK,465.0,1855.0,3.989247311827957
BUKIT MERAH,1200.0,1320.0,1.1
BUKIT PANJANG,630.0,1920.0,3.0476190476190474
BUKIT TIMAH,5160.0,5182.5,1.004360465116279
CHOA CHU KANG,360.0,1560.0,4.333333333333333
CLEMENTI,570.0,1635.0,2.8684210526315788
GEYLANG,1320.0,2880.0,2.1818181818181817
HOUGANG,480.0,2160.0,4.5
JURONG EAST,825.0,6607.5,8.00909090909091
JURONG WEST,720.0,1800.0,2.5
KALLANG,480.0,1700.0,3.5416666666666665
MARINE PARADE,690.0,5760.0,8.347826086956522
NOVENA,420.0,4200.0,10.0
OUTRAM,570.0,1125.0,1.9736842105263157
PASIR RIS,1110.0,2880.0,2.5945945945945947
PUNGGOL,540.0,1020.0,1.8888888888888888
ROCHOR,1605.0,13500.0,8.411214953271028
SEMBAWANG,510.0,2880.0,5.647058823529412
SENGKANG,360.0,960.0,2.6666666666666665
SERANGOON,420.0,2880.0,6.857142857142857
TAMPINES,600.0,1440.0,2.4
TOA PAYOH,337.5,1125.0,3.3333333333333335
WOODLANDS,420.0,1500.0,3.5714285714285716
YISHUN,360.0,1440.0,4.0
