MSNO,total_dur,PostalCode
40015,900.0,090109
40018,3000.0,080011
40018,3000.0,080011
40018,3000.0,080011
40035,9000.0,153095
40036,6900.0,151096
40036,6900.0,151096
40037,3000.0,152096
40068,1440.0,152075
40072,90.0,090025
40072,90.0,090025
40073,120.0,090003
40078,90.0,100065
40078,90.0,100065
40078,90.0,100065
40078,90.0,100065
40086,150.0,090034
40095,3600.0,570154
40095,3600.0,570154
40098,900.0,570164
40098,900.0,570164
40102,1500.0,570185
40103,2880.0,570249
40104,660.0,570292
40104,660.0,570292
40109,1650.0,571275
40109,1650.0,571275
40110,9000.0,570290
40116,6300.0,570453
40116,6300.0,570453
40116,6300.0,570453
40124,6240.0,370024
40125,3120.0,391030
40125,3120.0,391030
40146,43800.0,430022
40148,250.0,430005
40155,10950.0,370092
40156,5917.5,380041
40156,5917.5,380041
40168,742.5,330044
40168,742.5,330044
40180,1560.0,431011
40182,3660.0,431003
40182,3660.0,431003
40186,1890.0,330064
40186,1890.0,330064
40199,4000.0,321026
40199,4000.0,321026
40199,4000.0,321026
40200,1500.0,322004
40201,4200.0,320011
40201,4200.0,320011
40212,720.0,330034
40230,2400.0,320078
40230,2400.0,320078
40231,6750.0,300069
40235,2025.0,321109
40241,2100.0,080333
40241,2100.0,080333
40243,150.0,051335
40300,5400.0,341101
40300,5400.0,341101
40309,3600.0,310246
40309,3600.0,310246
40313,120.0,310128
40317,300.0,310149
40319,1125.0,310159
40319,1125.0,310159
40324,360.0,310120
40327,600.0,310060
40334,7500.0,310048
40334,7500.0,310048
40336,300.0,310055
40347,2700.0,310218
40347,2700.0,310218
40351,135.0,310230
40363,7200.0,312079
40366,300.0,314079
40367,18000.0,310025
40370,480.0,310205
40382,1440.0,460116
40388,667.5,470705
40388,667.5,470705
40394,1800.0,460203
40397,1440.0,460129
40410,18000.0,460546
40411,2880.0,460547
40418,1500.0,461188
40420,4320.0,472748
40429,2850.0,470605
40429,2850.0,470605
40435,5070.0,470704
40435,5070.0,470704
40436,6240.0,470709
40442,18720.0,470772
40455,6000.0,461001
40456,18000.0,461021
40468,720.0,461057
40472,720.0,510612
40484,300.0,510422
40487,625.0,510469
40488,1040.0,510473
40489,4200.0,510473
40489,4200.0,510473
40497,3600.0,510185
40497,3600.0,510185
40507,3600.0,510557
40518,120.0,510778
40521,7250.0,520155
40521,7250.0,520155
40523,1100.0,520119
40525,6000.0,520130
40531,1120.0,523623
40532,540.0,522624
40538,360.0,521859
40539,12480.0,520392
40541,2300.0,523868
40541,2300.0,523868
40542,10950.0,522879
40545,300.0,520505
40545,300.0,520505
40545,300.0,520505
40549,1040.0,521520
40578,8640.0,524230
40583,1620.0,520354
40583,1620.0,520354
40589,10.0,520429
40593,6600.0,520449
40594,4950.0,523450
40597,360.0,520459
40606,195.0,525498
40606,195.0,525498
40608,300.0,521626
40608,300.0,521626
40624,14400.0,520854
40661,300.0,560471
40668,4500.0,560102
40668,4500.0,560102
40675,1440.0,560233
40688,1080.0,560112
40695,360.0,560629
40695,360.0,560629
40695,360.0,560629
40695,360.0,560629
40697,6255.0,560641
40697,6255.0,560641
40724,4320.0,531997
40728,150.0,530121
40741,2790.0,530251
40741,2790.0,530251
40752,825.0,530301
40752,825.0,530301
40752,825.0,530301
40752,825.0,530301
40759,1440.0,530526
40773,3120.0,530683
40789,2100.0,530911
40789,2100.0,530911
40793,4000.0,530929
40797,800.0,530943
40798,14400.0,530129
40798,14400.0,530129
40799,120.0,530129
40803,480.0,531473
40807,1200.0,533476
40828,120.0,821160
40851,21900.0,821102
40893,1050.0,543335
40893,1050.0,543335
40903,600.0,543302
40911,1440.0,542333
40911,1440.0,542333
40914,600.0,542330
40921,1800.0,541290
40926,390.0,544201
40926,390.0,544201
40931,630.0,541213
40931,630.0,541213
40932,2880.0,544275
40934,2400.0,543259
40939,4800.0,541292
40939,4800.0,541292
40940,40.0,541298
40940,40.0,541298
40948,360.0,791404
40950,1140.0,792413
40950,1140.0,792413
40951,1500.0,792415
40951,1500.0,792415
40957,1800.0,792470
40958,600.0,792407
40959,345.0,791408
40959,345.0,791408
40962,1200.0,791445
40966,600.0,793446
40967,1200.0,540153
40972,1200.0,541163
40975,330.0,540182
40975,330.0,540182
40986,300.0,540114
40987,340.0,540114
40995,1200.0,792452
41013,1500.0,551223
41024,4320.0,550148
41028,285.0,550548
41028,285.0,550548
41029,13500.0,550554
41029,13500.0,550554
41032,360.0,550536
41032,360.0,550536
41043,4770.0,750492
41046,150.0,751132
41056,300.0,752129
41071,2925.0,751463
41071,2925.0,751463
41073,3900.0,750480
41073,3900.0,750480
41074,5460.0,750480
41074,5460.0,750480
41076,600.0,751501
41093,375.0,730139
41102,120.0,730616
