MSNO,total_dur,PostalCode,lat,long,address
40015,900.0,090109,1.27392939929265,103.825310761145,109 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090109
40018,3000.0,080011,1.27442604746069,103.839671514269,11 CANTONMENT CLOSE CANTONMENT TOWERS SINGAPORE 080011
40035,9000.0,153095,1.28740640570626,103.822053233106,95C HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 153095
40036,6900.0,151096,1.28798878836651,103.821947260359,96A HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 151096
40037,3000.0,152096,1.288056640159,103.821285332505,96B HENDERSON ROAD CITY VUE @HENDERSON SINGAPORE 152096
40068,1440.0,152075,1.28848093779845,103.815878776808,75B REDHILL ROAD SINGAPORE 152075
40072,90.0,090025,1.27633689840283,103.819194353538,25 TELOK BLANGAH CRESCENT SINGAPORE 090025
40073,120.0,090003,1.27866784718784,103.81752660481,3 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090003
40078,90.0,100065,1.27406230448123,103.810424079622,65 TELOK BLANGAH DRIVE BLANGAH VIEW SINGAPORE 100065
40086,150.0,090034,1.27351780057463,103.822480988448,34 TELOK BLANGAH WAY SINGAPORE 090034
40095,3600.0,570154,1.34662507482215,103.855033173199,154 BISHAN STREET 13 SINGAPORE 570154
40098,900.0,570164,1.34846352425067,103.856094684689,164 BISHAN STREET 13 SINGAPORE 570164
40102,1500.0,570185,1.34976201896994,103.852472713646,185 BISHAN STREET 13 SINGAPORE 570185
40103,2880.0,570249,1.36114689488207,103.843966049555,249 BISHAN STREET 22 DIVINITY ESPECIAL NEEDS INTERVENTION CENTRE SINGAPORE 570249
40104,660.0,570292,1.35601736515828,103.845668085918,292 BISHAN STREET 22 BISHAN HEIGHTS SINGAPORE 570292
40109,1650.0,571275,1.35673539047075,103.843519752733,275A BISHAN STREET 24 NATURA LOFT SINGAPORE 571275
40110,9000.0,570290,1.35613778516576,103.844897654796,290 BISHAN STREET 24 BISHAN HEIGHTS SINGAPORE 570290
40116,6300.0,570453,1.35904538127014,103.829898490029,453 SIN MING AVENUE SIN MING COURT SINGAPORE 570453
40124,6240.0,370024,1.33018852048052,103.887508672167,24 BALAM ROAD BALAM GARDENS SINGAPORE 370024
40125,3120.0,391030,1.30944315518034,103.883336276334,30 CASSIA CRESCENT SINGAPORE 391030
40146,43800.0,430022,1.31379131490541,103.89522868303,22 HAIG ROAD HAIG VISTA SINGAPORE 430022
40148,250.0,430005,1.31258917369124,103.896591193187,5 HAIG ROAD HAIG VIEW SINGAPORE 430005
40155,10950.0,370092,1.32319473990265,103.887350625629,92 PIPIT ROAD SINGAPORE 370092
40156,5917.5,380041,1.31685532892182,103.875551269808,41 SIMS DRIVE SIMS VISTA SINGAPORE 380041
40168,742.5,330044,1.32226013692281,103.86662310263,44 BENDEMEER ROAD SINGAPORE 330044
40180,1560.0,431011,1.30169639051101,103.882578686361,11 JALAN BATU DI TANJONG RHU SINGAPORE 431011
40182,3660.0,431003,1.30288393170238,103.883934229235,3 JALAN BATU DI TANJONG RHU SINGAPORE 431003
40186,1890.0,330064,1.32036885070648,103.868340801014,64 KALLANG BAHRU PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER BLK 64 (KN) SINGAPORE 330064
40199,4000.0,321026,1.32238824783966,103.862438814371,26A SAINT GEORGE'S LANE SAINT GEORGE'S TOWERS SINGAPORE 321026
40200,1500.0,322004,1.32219497416293,103.860831758253,4C SAINT GEORGE'S LANE SINGAPORE 322004
40201,4200.0,320011,1.32292326712558,103.863230452849,11 SAINT GEORGE'S ROAD SAINT GEORGE'S EAST GARDENS SINGAPORE 320011
40212,720.0,330034,1.32050169556608,103.863341271367,34 WHAMPOA WEST BENDEMEER VILLE SINGAPORE 330034
40230,2400.0,320078,1.32487617789478,103.855541044499,78 LORONG LIMAU WHAMPOA DEW SINGAPORE 320078
40231,6750.0,300069,1.31895176233165,103.850517972593,69 MOULMEIN ROAD MOULMEIN VIEW SINGAPORE 300069
40235,2025.0,321109,1.32714817577656,103.855700914421,109 WHAMPOA ROAD WHAMPOA GARDENS SINGAPORE 321109
40241,2100.0,080333,1.28074833681274,103.84246340102,333 KRETA AYER ROAD SINGAPORE 080333
40243,150.0,051335,1.28211630828089,103.842845624261,335A SMITH STREET SINGAPORE 051335
40300,5400.0,341101,1.33685462167621,103.870996313693,101A BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 341101
40309,3600.0,310246,1.33078082665669,103.855844268285,246 KIM KEAT LINK SINGAPORE 310246
40313,120.0,310128,1.33781295353996,103.844331928876,128 LORONG 1 TOA PAYOH SINGAPORE 310128
40317,300.0,310149,1.33378491718625,103.84376074201,149 LORONG 1 TOA PAYOH SINGAPORE 310149
40319,1125.0,310159,1.3307454292856,103.845601223103,159 LORONG 1 TOA PAYOH CARE CORNER STUDENT CARE CENTRE (TOA PAYOH) SINGAPORE 310159
40324,360.0,310120,1.33913568992412,103.845562921008,120 LORONG 2 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310120
40327,600.0,310060,1.33632813877246,103.850756428954,60 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310060
40334,7500.0,310048,1.337083957059,103.85354103689,48 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310048
40336,300.0,310055,1.33735977355321,103.851197793444,55 LORONG 5 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310055
40347,2700.0,310218,1.34272583549089,103.855151579728,218 LORONG 8 TOA PAYOH SINGAPORE 310218
40351,135.0,310230,1.33825592680641,103.859303071005,230 LORONG 8 TOA PAYOH TOA PAYOH EIGHT SINGAPORE 310230
40363,7200.0,312079,1.33464078301907,103.847990266882,79B TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 312079
40366,300.0,314079,1.33464084384827,103.849165514713,79D TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 314079
40367,18000.0,310025,1.33356606706026,103.856981751253,25 TOA PAYOH EAST SINGAPORE 310025
40370,480.0,310205,1.34220948332494,103.847727620222,205 TOA PAYOH NORTH PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH WEST-BALESTIER BLK 205 (KN) SINGAPORE 310205
40382,1440.0,460116,1.33100823526591,103.938066838998,116 BEDOK NORTH ROAD SINGAPORE 460116
