NAME,unit_median_pk,unit_median_ngs,ratio
kml_1,9450.0,15300.0,1.619047619047619
kml_100,120.0,2250.0,18.75
kml_101,360.0,6000.0,16.666666666666668
kml_103,300.0,1500.0,5.0
kml_104,180.0,550.0,3.0555555555555554
kml_111,900.0,3120.0,3.466666666666667
kml_119,420.0,1830.0,4.357142857142857
kml_121,1635.0,245.0,0.14984709480122324
kml_122,840.0,6240.0,7.428571428571429
kml_124,900.0,2745.0,3.05
kml_128,1080.0,470.0,0.4351851851851852
kml_129,757.5,1500.0,1.9801980198019802
kml_130,0.0,21900.0,inf
kml_140,1800.0,6750.0,3.75
kml_143,690.0,5760.0,8.347826086956522
kml_149,1515.0,6000.0,3.9603960396039604
kml_152,5160.0,5182.5,1.004360465116279
kml_157,60.0,720.0,12.0
kml_161,2460.0,1200.0,0.4878048780487805
kml_163,540.0,1080.0,2.0
kml_164,960.0,4320.0,4.5
kml_165,1920.0,600.0,0.3125
kml_168,1110.0,3000.0,2.7027027027027026
kml_169,300.0,420.0,1.4
kml_172,1395.0,2160.0,1.5483870967741935
kml_173,540.0,1560.0,2.888888888888889
kml_174,330.0,1580.0,4.787878787878788
kml_175,240.0,3600.0,15.0
kml_177,240.0,11250.0,46.875
kml_178,720.0,1500.0,2.0833333333333335
kml_179,540.0,1440.0,2.6666666666666665
kml_180,300.0,330.0,1.1
kml_181,420.0,380.0,0.9047619047619048
kml_182,240.0,540.0,2.25
kml_185,660.0,1500.0,2.272727272727273
kml_186,540.0,2790.0,5.166666666666667
kml_192,2250.0,1470.0,0.6533333333333333
kml_194,2100.0,780.0,0.37142857142857144
kml_195,240.0,1440.0,6.0
kml_196,2280.0,3780.0,1.6578947368421053
kml_197,2340.0,2745.0,1.1730769230769231
kml_198,360.0,4750.0,13.194444444444445
kml_199,1590.0,3150.0,1.9811320754716981
kml_20,1200.0,6900.0,5.75
kml_200,705.0,2550.0,3.617021276595745
kml_201,70.0,1875.0,26.785714285714285
kml_202,570.0,2640.0,4.631578947368421
kml_204,540.0,9360.0,17.333333333333332
kml_205,240.0,2880.0,12.0
kml_208,540.0,2800.0,5.185185185185185
kml_21,1200.0,1440.0,1.2
kml_210,247.5,420.0,1.696969696969697
kml_211,360.0,2850.0,7.916666666666667
kml_212,2880.0,4320.0,1.5
kml_213,360.0,5925.0,16.458333333333332
kml_214,570.0,900.0,1.5789473684210527
kml_215,360.0,4680.0,13.0
kml_216,285.0,600.0,2.1052631578947367
kml_217,480.0,300.0,0.625
kml_220,0.0,3600.0,inf
kml_221,90.0,401.25,4.458333333333333
kml_223,1080.0,3120.0,2.888888888888889
kml_225,300.0,712.5,2.375
kml_228,540.0,2880.0,5.333333333333333
kml_230,420.0,1175.0,2.7976190476190474
kml_232,600.0,1080.0,1.8
kml_233,1380.0,720.0,0.5217391304347826
kml_234,255.0,3307.5,12.970588235294118
kml_236,240.0,1350.0,5.625
kml_237,510.0,600.0,1.1764705882352942
kml_239,240.0,960.0,4.0
kml_240,1200.0,4560.0,3.8
kml_241,360.0,4680.0,13.0
kml_243,435.0,4000.0,9.195402298850574
kml_244,180.0,3000.0,16.666666666666668
kml_245,240.0,1255.0,5.229166666666667
kml_246,810.0,1110.0,1.3703703703703705
kml_247,255.0,2880.0,11.294117647058824
kml_248,5760.0,1215.0,0.2109375
kml_250,120.0,1740.0,14.5
kml_256,360.0,1200.0,3.3333333333333335
kml_257,510.0,340.0,0.6666666666666666
kml_259,180.0,2910.0,16.166666666666668
kml_261,450.0,1800.0,4.0
kml_265,0.0,810.0,inf
kml_268,360.0,2160.0,6.0
kml_270,435.0,1800.0,4.137931034482759
kml_271,720.0,5160.0,7.166666666666667
kml_273,450.0,900.0,2.0
kml_275,240.0,2100.0,8.75
kml_276,240.0,990.0,4.125
kml_3,570.0,1125.0,1.9736842105263157
kml_301,1080.0,3120.0,2.888888888888889
kml_304,210.0,1350.0,6.428571428571429
kml_305,262.5,300.0,1.1428571428571428
kml_306,330.0,990.0,3.0
kml_310,570.0,1200.0,2.1052631578947367
kml_314,180.0,3900.0,21.666666666666668
kml_316,420.0,1440.0,3.4285714285714284
kml_320,390.0,1440.0,3.6923076923076925
kml_321,630.0,2580.0,4.095238095238095
kml_322,1920.0,375.0,0.1953125
kml_328,900.0,2115.0,2.35
kml_329,525.0,1440.0,2.742857142857143
kml_330,270.0,1590.0,5.888888888888889
kml_331,720.0,1650.0,2.2916666666666665
kml_36,2880.0,810.0,0.28125
kml_38,570.0,4500.0,7.894736842105263
kml_39,915.0,1620.0,1.7704918032786885
kml_43,375.0,245.0,0.6533333333333333
kml_48,1605.0,0.0,0.0
kml_57,1425.0,3480.0,2.442105263157895
kml_60,1080.0,1270.0,1.1759259259259258
kml_69,0.0,13500.0,inf
kml_71,660.0,2610.0,3.9545454545454546
kml_93,1500.0,5200.0,3.466666666666667
kml_94,120.0,10800.0,90.0
kml_95,1440.0,1800.0,1.25
kml_96,540.0,750.0,1.3888888888888888
kml_99,720.0,300.0,0.4166666666666667
